name,doc,num
unknown,May occour on error returns with no associated permission,0
b_serverinstance_help_view,Retrieve information about ServerQuery commands,1
b_serverinstance_version_view,Retrieve global server version (including platform and build number),2
b_serverinstance_info_view,Retrieve global server information,3
b_serverinstance_virtualserver_list,List virtual servers stored in the database,4
b_serverinstance_binding_list,List active IP bindings on multi-homed machines,5
b_serverinstance_permission_list,List permissions available available on the server instance,6
b_serverinstance_permission_find,Search permission assignments by name or ID,7
b_virtualserver_create,Create virtual servers,8
b_virtualserver_delete,Delete virtual servers,9
b_virtualserver_start_any,Start any virtual server in the server instance,10
b_virtualserver_stop_any,Stop any virtual server in the server instance,11
b_virtualserver_change_machine_id,Change a virtual servers machine ID,12
b_virtualserver_change_template,Edit virtual server default template values,13
b_serverquery_login,Login to ServerQuery,14
b_serverinstance_textmessage_send,Send text messages to all virtual servers at once,15
b_serverinstance_log_view,Retrieve global server log,16
b_serverinstance_log_add,Write to global server log,17
b_serverinstance_stop,Shutdown the server process,18
b_serverinstance_modify_settings,Edit global settings,19
b_serverinstance_modify_querygroup,Edit global ServerQuery groups,20
b_serverinstance_modify_templates,Edit global template groups,21
b_virtualserver_select,Select a virtual server,22
b_virtualserver_info_view,Retrieve virtual server information,23
b_virtualserver_connectioninfo_view,Retrieve virtual server connection information,24
b_virtualserver_channel_list,List channels on a virtual server,25
b_virtualserver_channel_search,Search for channels on a virtual server,26
b_virtualserver_client_list,List clients online on a virtual server,27
b_virtualserver_client_search,Search for clients online on a virtual server,28
b_virtualserver_client_dblist,List client identities known by the virtual server,29
b_virtualserver_client_dbsearch,Search for client identities known by the virtual server,30
b_virtualserver_client_dbinfo,Retrieve client information,31
b_virtualserver_permission_find,Find permissions,32
b_virtualserver_custom_search,Find custom fields,33
b_virtualserver_start,Start own virtual server,34
b_virtualserver_stop,Stop own virtual server,35
b_virtualserver_token_list,List privilege keys available,36
b_virtualserver_token_add,Create new privilege keys,37
b_virtualserver_token_use,Use a privilege keys to gain access to groups,38
b_virtualserver_token_delete,Delete a privilege key,39
b_virtualserver_log_view,Retrieve virtual server log,40
b_virtualserver_log_add,Write to virtual server log,41
b_virtualserver_join_ignore_password,Join virtual server ignoring its password,42
b_virtualserver_notify_register,Register for server notifications,43
b_virtualserver_notify_unregister,Unregister from server notifications,44
b_virtualserver_snapshot_create,Create server snapshots,45
b_virtualserver_snapshot_deploy,Deploy server snapshots,46
b_virtualserver_permission_reset,Reset the server permission settings to default values,47
b_virtualserver_modify_name,Modify server name,48
b_virtualserver_modify_welcomemessage,Modify welcome message,49
b_virtualserver_modify_maxclients,Modify servers max clients,50
b_virtualserver_modify_reserved_slots,Modify reserved slots,51
b_virtualserver_modify_password,Modify server password,52
b_virtualserver_modify_default_servergroup,Modify default Server Group,53
